source,question_id,subject,question,question_type,answer_options,num_options,question_length
Pew_American_Trends_Panel_disagreement_500.csv,202,Politics & Government,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing spending on Social Security, Medicare and Medicaid?",Priority,"['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done']",4,206
Pew_American_Trends_Panel_disagreement_500.csv,203,Politics & Government,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending for roads, bridges and other infrastructure?",Priority,"['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done']",4,210
Pew_American_Trends_Panel_disagreement_500.csv,204,Politics & Government,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to avoiding tax increases?",Priority,"['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done']",4,169
Pew_American_Trends_Panel_disagreement_500.csv,205,Politics & Government,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing military spending?",Priority,"['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done']",4,175
Pew_American_Trends_Panel_disagreement_500.csv,206,Politics & Government,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to who come here legally? Allowing more immigrants into the U.S.",Priority,"['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done']",4,207
Pew_American_Trends_Panel_disagreement_500.csv,207,Politics & Government,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending on Social Security, Medicare and Medicaid?",Priority,"['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done']",4,208
Pew_American_Trends_Panel_disagreement_500.csv,208,Politics & Government,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing spending for roads, bridges and other infrastructure?",Priority,"['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done']",4,208
Pew_American_Trends_Panel_disagreement_500.csv,209,Politics & Government,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to dealing with climate change?",Priority,"['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done']",4,174
Pew_American_Trends_Panel_disagreement_500.csv,210,Economy & Work,"How much do you agree or disagree with the following statement? Over the next 30 years, the government should be most responsible for making sure American workers have the right skills and training to get a good job?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,216
Pew_American_Trends_Panel_disagreement_500.csv,211,Economy & Work,"How much do you agree or disagree with the following statement? Over the next 30 years, employers should be most responsible for making sure American workers have the right skills and training to get a good job?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,211
Pew_American_Trends_Panel_disagreement_500.csv,212,Economy & Work,"How much do you agree or disagree with the following statement? Over the next 30 years, the education system should be most responsible for making sure American workers have the right skills and training to get a good job?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,222
Pew_American_Trends_Panel_disagreement_500.csv,213,Economy & Work,"How much do you agree or disagree with the following statement? Over the next 30 years, idividuals themselves should be most responsible for making sure American workers have the right skills and training to get a good job?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,223
Pew_American_Trends_Panel_disagreement_500.csv,214,Economy & Work,"How much do you agree or disagree with the following statement? Over the next 30 years, the government should be most responsible for making sure young adults have the right skills and training to get a good job?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,212
Pew_American_Trends_Panel_disagreement_500.csv,215,Economy & Work,"How much do you agree or disagree with the following statement? Over the next 30 years, employers should be most responsible for making sure young adults have the right skills and training to get a good job?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,207
Pew_American_Trends_Panel_disagreement_500.csv,216,Economy & Work,"How much do you agree or disagree with the following statement? Over the next 30 years, the education system should be most responsible for making sure young adults have the right skills and training to get a good job?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,218
Pew_American_Trends_Panel_disagreement_500.csv,217,Economy & Work,"How much do you agree or disagree with the following statement? Over the next 30 years, individualy themselves should be most responsible for making sure young adults have the right skills and training to get a good job?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,220
Pew_American_Trends_Panel_disagreement_500.csv,218,Economy & Work,"How much do you agree or disagree with the following statement? Overall, the automation of jobs through new technology in the workplace has mostly helped American workers",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,170
Pew_American_Trends_Panel_disagreement_500.csv,219,Economy & Work,"How much do you agree or disagree with the following statement? Overall, the automation of jobs through new technology in the workplace has mostly hurt American workers",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,168
Pew_American_Trends_Panel_disagreement_500.csv,220,Economy & Work,"Within the next 30 years, how likely do you think it is that the type of work that you do will be done by robots or computers? Do you think this will",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,149
Pew_American_Trends_Panel_disagreement_500.csv,221,Politics & Government,"In order to maintain the strength of the U.S. economy over the next 30 years, do you think that legal immigration will need to increase, decrease, or stay about the same?",IncreaseDecrease,"['Increase a lot', 'Increase a little', 'Stay about the same', 'Decrease a little', 'Decrease a lot']",5,170
Pew_American_Trends_Panel_disagreement_500.csv,222,Social,"Over the next 30 years, do you think the share of Americans who are in Middle Class will increase, decrease, or stay about the same?",IncreaseDecrease,"['Increase a lot', 'Increase a little', 'Stay about the same', 'Decrease a little', 'Decrease a lot']",5,132
Pew_American_Trends_Panel_disagreement_500.csv,223,Social,"Over the next 30 years, do you think the share of Americans who are lower class will increase, decrease, or stay about the same?",IncreaseDecrease,"['Increase a lot', 'Increase a little', 'Stay about the same', 'Decrease a little', 'Decrease a lot']",5,128
Pew_American_Trends_Panel_disagreement_500.csv,224,Crime,"When it comes to sexual harassment and sexual assault in the workplace today, how big of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding ou is?",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,221
Pew_American_Trends_Panel_disagreement_500.csv,225,Crime,"When it comes to sexual harassment and sexual assault in the workplace today, how big of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or ass is?",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,221
Pew_American_Trends_Panel_disagreement_500.csv,226,Crime,"When it comes to sexual harassment and sexual assault today, how big of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,208
Pew_American_Trends_Panel_disagreement_500.csv,227,Crime,How much do you agree or disagree with the following statement? The increased focus on sexual harassment and assault has made it easier for men to know how to interact with women.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,179
Pew_American_Trends_Panel_disagreement_500.csv,228,Crime,How much do you agree or disagree with the following statement? The increased focus on sexual harassment and assault has made it harder for men to know how to interact with women.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,179
Pew_American_Trends_Panel_disagreement_500.csv,229,Race & Ethnicity,"According to the U.S. Census Bureau, by the year 2050, a majority of the population will be made up of blacks, Asians, Hispanics, and other racial minorities. In terms of its impact on the country, do you think this will be good or bad for the U.S.?",GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,249
Pew_American_Trends_Panel_disagreement_500.csv,230,Race & Ethnicity,"According to the U.S. Census Bureau, more people of different races are marrying each other these days than in the past. In terms of its impact on the country, do you think this is good or bad for the U.S.?",GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,206
Pew_American_Trends_Panel_disagreement_500.csv,231,Social,"By 2050, do you expect that people who are married will be more or less likely to get divorced than people are now?",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,115
Pew_American_Trends_Panel_disagreement_500.csv,232,Trust & Fear,"In the future, how positive or negative of an impact do you think science and technology will have in solving the biggest problems facing the country?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,150
Pew_American_Trends_Panel_disagreement_500.csv,233,Trust & Fear,"In the future, how positive or negative of an impact do you think major corporations will have in solving the biggest problems facing the country?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,146
Pew_American_Trends_Panel_disagreement_500.csv,234,Trust & Fear,"In the future, how positive or negative of an impact do you think religious groups will have in solving the biggest problems facing the country?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,144
Pew_American_Trends_Panel_disagreement_500.csv,235,Trust & Fear,"In the future, how positive or negative of an impact do you think the government in Washington will have in solving the biggest problems facing the country?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,156
Pew_American_Trends_Panel_disagreement_500.csv,236,Trust & Fear,"In the future, how positive or negative of an impact do you think the news media will have in solving the biggest problems facing the country?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,142
Pew_American_Trends_Panel_disagreement_500.csv,237,Trust & Fear,"In the future, how positive or negative of an impact do you think the military will have in solving the biggest problems facing the country?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,140
Pew_American_Trends_Panel_disagreement_500.csv,238,Trust & Fear,"In the future, how positive or negative of an impact do you think colleges and universities will have in solving the biggest problems facing the country?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,153
Pew_American_Trends_Panel_disagreement_500.csv,239,Trust & Fear,"How much confidence, if any, do you have in the news media to act in the best interests of the public?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,102
Pew_American_Trends_Panel_disagreement_500.csv,240,Trust & Fear,"How much confidence, if any, do you have in the military to act in the best interests of the public?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,100
Pew_American_Trends_Panel_disagreement_500.csv,241,Trust & Fear,"How much confidence, if any, do you have in religious leaders to act in the best interests of the public?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,105
Pew_American_Trends_Panel_disagreement_500.csv,242,Trust & Fear,"How much confidence, if any, do you have in business leaders to act in the best interests of the public?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,104
Pew_American_Trends_Panel_disagreement_500.csv,243,Trust & Fear,"How much, if anything, do you know about what medical research scientists do?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,77
Pew_American_Trends_Panel_disagreement_500.csv,244,Trust & Fear,"Thinking about medical research scientists, how often would you say they provide fair and accurate information when making statements about their research",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,154
Pew_American_Trends_Panel_disagreement_500.csv,245,Trust & Fear,"Thinking about medical research scientists, how often would you say they care about the best interests of the public",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,116
Pew_American_Trends_Panel_disagreement_500.csv,246,Trust & Fear,"In general, how positive or negative would you say your view of environmental research scientists is?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,101
Pew_American_Trends_Panel_disagreement_500.csv,247,Trust & Fear,"Thinking about environmental research scientists, how often would you say they do a good job conducting research",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,112
Pew_American_Trends_Panel_disagreement_500.csv,248,Trust & Fear,"Thinking about environmental research scientists, how often would you say they admit mistakes and take responsibility for them",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,126
Pew_American_Trends_Panel_disagreement_500.csv,249,Trust & Fear,"Thinking about environmental research scientists, how often would you say they are transparent about potential conflicts of interest with industry groups in their research",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,171
Pew_American_Trends_Panel_disagreement_500.csv,250,Trust & Fear,"Thinking about environmental research scientists, how often would you say they care about the best interests of the public",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,122
Pew_American_Trends_Panel_disagreement_500.csv,251,Trust & Fear,"Overall, how big of a problem do you think research misconduct by environmental research scientists is?",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,103
Pew_American_Trends_Panel_disagreement_500.csv,252,Trust & Fear,"In general, how positive or negative would you say your view of nutrition research scientists is?",PositiveNegative,"['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",5,97
Pew_American_Trends_Panel_disagreement_500.csv,253,Trust & Fear,"Thinking about nutrition research scientists, how often would you say they do a good job conducting research",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,108
Pew_American_Trends_Panel_disagreement_500.csv,254,Trust & Fear,"Thinking about nutrition research scientists, how often would you say they provide fair and accurate information when making statements about their research",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,156
Pew_American_Trends_Panel_disagreement_500.csv,255,Trust & Fear,"Thinking about nutrition research scientists, how often would you say they are transparent about potential conflicts of interest with industry groups in their research",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,167
Pew_American_Trends_Panel_disagreement_500.csv,256,Trust & Fear,"Overall, how big of a problem do you think research misconduct by nutrition research scientists is",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,98
Pew_American_Trends_Panel_disagreement_500.csv,257,Trust & Fear,"Thinking about medical doctors, how often would you say they do a good job providing diagnoses and treatment recommendations",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,124
Pew_American_Trends_Panel_disagreement_500.csv,258,Trust & Fear,"Thinking about medical doctors, how often would you say they admit mistakes and take responsibility for them",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,108
Pew_American_Trends_Panel_disagreement_500.csv,259,Trust & Fear,"Thinking about medical doctors, how often would you say they care about the best interests of their patients",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,108
Pew_American_Trends_Panel_disagreement_500.csv,260,Trust & Fear,"Thinking about environmental health specialists, how often would you say they provide fair and accurate information when making recommendations",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,143
Pew_American_Trends_Panel_disagreement_500.csv,261,Trust & Fear,"Thinking about environmental health specialists, how often would you say they admit mistakes and take responsibility for them",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,125
Pew_American_Trends_Panel_disagreement_500.csv,262,Trust & Fear,"Thinking about environmental health specialists, how often would you say they are transparent about potential conflicts of interest with industry groups in their work",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,166
Pew_American_Trends_Panel_disagreement_500.csv,263,Trust & Fear,"How often, if at all, do you think environmental health specialists face serious consequences if they engage in professional misconduct?",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,136
Pew_American_Trends_Panel_disagreement_500.csv,264,Trust & Fear,"Thinking about dietitians, how often would you say they admit mistakes and take responsibility for them",Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,103
Pew_American_Trends_Panel_disagreement_500.csv,266,Race & Ethnicity,"The U.S. population is made up of people of many different races and ethnicities. Overall, do you think this is good or bad for the country?",GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,140
Pew_American_Trends_Panel_disagreement_500.csv,267,Race & Ethnicity,"Overall, how does being white affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,93
Pew_American_Trends_Panel_disagreement_500.csv,268,Race & Ethnicity,"Overall, how does being black affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,93
Pew_American_Trends_Panel_disagreement_500.csv,269,Race & Ethnicity,"Overall, how does being Asian affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,93
Pew_American_Trends_Panel_disagreement_500.csv,270,Race & Ethnicity,"Overall, how does being Native American affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,103
Pew_American_Trends_Panel_disagreement_500.csv,271,Race & Ethnicity,"Overall, how does being Jewish affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,94
Pew_American_Trends_Panel_disagreement_500.csv,272,Race & Ethnicity,"Overall, how does being Muslim affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,94
Pew_American_Trends_Panel_disagreement_500.csv,273,Race & Ethnicity,"Overall, how does being an evangelical Christian affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,112
Pew_American_Trends_Panel_disagreement_500.csv,274,Race & Ethnicity,"Overall, how does being a man affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,93
Pew_American_Trends_Panel_disagreement_500.csv,275,Race & Ethnicity,"Overall, how does being a woman affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,95
Pew_American_Trends_Panel_disagreement_500.csv,276,Race & Ethnicity,"Overall, how does being wealthy affect people's ability to get ahead in our country these days?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,95
Pew_American_Trends_Panel_disagreement_500.csv,278,Race & Ethnicity,"How likely, if at all, is it that black people in our country will eventually have equal rights with whites?",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,108
Pew_American_Trends_Panel_disagreement_500.csv,279,Politics & Government,How much do you agree or disagree with the following statement? President Trump has made progress toward improving race relations,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,129
Pew_American_Trends_Panel_disagreement_500.csv,280,Politics & Government,How much do you agree or disagree with the following statement? President Trump has tried but failed to make progress toward improving race relations,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,149
Pew_American_Trends_Panel_disagreement_500.csv,281,Politics & Government,How much do you agree or disagree with the following statement? President Trump has not addressed race relations,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,112
Pew_American_Trends_Panel_disagreement_500.csv,282,Politics & Government,How much do you agree or disagree with the following statement? President Trump has made race relations worse,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,109
Pew_American_Trends_Panel_disagreement_500.csv,283,Politics & Government,"How much do you agree or disagree with the following statement? Since President Trump was elected, it has become more common for people to express racist or racially insensitive views.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,184
Pew_American_Trends_Panel_disagreement_500.csv,284,Politics & Government,"How much do you agree or disagree with the following statement? Since President Trump was elected, it has become less common for people to express racist or racially insensitive views.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,184
Pew_American_Trends_Panel_disagreement_500.csv,285,Politics & Government,"How much do you agree or disagree with the following statement? Since President Trump was elected, it has become more acceptable for people to express racist or racially insensitive views.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,188
Pew_American_Trends_Panel_disagreement_500.csv,286,Politics & Government,"How much do you agree or disagree with the following statement? Since President Trump was elected, it has become less acceptable for people to express racist or racially insensitive views.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,188
Pew_American_Trends_Panel_disagreement_500.csv,287,Race & Ethnicity,"How much, if at all, do you think the legacy of slavery affects the position of black people in American society today?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,119
Pew_American_Trends_Panel_disagreement_500.csv,288,Race & Ethnicity,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Blacks and Hispanics",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,197
Pew_American_Trends_Panel_disagreement_500.csv,289,Race & Ethnicity,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Hispanics and Asians",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,197
Pew_American_Trends_Panel_disagreement_500.csv,290,Race & Ethnicity,To what extent do you think the following is a reason why black people in our country may have a harder time getting ahead than white people? Racial discrimination,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,163
Pew_American_Trends_Panel_disagreement_500.csv,291,Race & Ethnicity,To what extent do you think the following is a reason why black people in our country may have a harder time getting ahead than white people? Less access to good quality schools,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,177
Pew_American_Trends_Panel_disagreement_500.csv,292,Race & Ethnicity,To what extent do you think the following is a reason why black people in our country may have a harder time getting ahead than white people? Less access to high-paying jobs,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,173
Pew_American_Trends_Panel_disagreement_500.csv,300,Race & Ethnicity,"How much do you agree or disagree with the following statement? Black people are treated less fairly than white people in hiring, pay and promotions situations?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,160
Pew_American_Trends_Panel_disagreement_500.csv,301,Race & Ethnicity,"How much do you agree or disagree with the following statement? White people are treated less fairly than black people in hiring, pay and promotions situations?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,160
Pew_American_Trends_Panel_disagreement_500.csv,302,Race & Ethnicity,How much do you agree or disagree with the following statement? Black people are treated less fairly than white people in stores or restaurants situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,155
Pew_American_Trends_Panel_disagreement_500.csv,303,Race & Ethnicity,How much do you agree or disagree with the following statement? White people are treated less fairly than black people in stores or restaurants situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,155
Pew_American_Trends_Panel_disagreement_500.csv,304,Race & Ethnicity,How much do you agree or disagree with the following statement? Black people are treated less fairly than white people when applying for a loan or mortgage situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,167
Pew_American_Trends_Panel_disagreement_500.csv,305,Race & Ethnicity,How much do you agree or disagree with the following statement? White people are treated less fairly than black people when applying for a loan or mortgage situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,167
Pew_American_Trends_Panel_disagreement_500.csv,306,Race & Ethnicity,How much do you agree or disagree with the following statement? Black people are treated less fairly than white people in dealing with the police situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,157
Pew_American_Trends_Panel_disagreement_500.csv,307,Race & Ethnicity,How much do you agree or disagree with the following statement? White people are treated less fairly than black people in dealing with the police situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,157
Pew_American_Trends_Panel_disagreement_500.csv,308,Race & Ethnicity,How much do you agree or disagree with the following statement? Black people are treated less fairly than white people by the criminal justice system situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,161
Pew_American_Trends_Panel_disagreement_500.csv,309,Race & Ethnicity,How much do you agree or disagree with the following statement? White people are treated less fairly than black people by the criminal justice system situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,161
Pew_American_Trends_Panel_disagreement_500.csv,310,Race & Ethnicity,How much do you agree or disagree with the following statement? Black people are treated less fairly than white people when voting in elections situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,155
Pew_American_Trends_Panel_disagreement_500.csv,311,Race & Ethnicity,How much do you agree or disagree with the following statement? White people are treated less fairly than black people when voting in elections situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,155
Pew_American_Trends_Panel_disagreement_500.csv,312,Race & Ethnicity,How much do you agree or disagree with the following statement? Black people are treated less fairly than white people when seeking medical treatment situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,161
Pew_American_Trends_Panel_disagreement_500.csv,313,Race & Ethnicity,How much do you agree or disagree with the following statement? White people are treated less fairly than black people when seeking medical treatment situations?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,161
Pew_American_Trends_Panel_disagreement_500.csv,321,Race & Ethnicity,How many white people in our country do you think are prejudiced against black people?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,86
Pew_American_Trends_Panel_disagreement_500.csv,322,Race & Ethnicity,How many white people in our country do you think would confront a white friend or family member if they made a racist or racially insensitive comment or joke about people who are black?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,186
Pew_American_Trends_Panel_disagreement_500.csv,323,Race & Ethnicity,How many black people in our country do you think would confront a black friend or family member if they made a racist or racially insensitive comment or joke about people who are white?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,186
Pew_American_Trends_Panel_disagreement_500.csv,324,Race & Ethnicity,"For each, please indicate if you, personally, think it is acceptable. A sports team using Native American tribal names or images as mascots",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,139
Pew_American_Trends_Panel_disagreement_500.csv,325,Race & Ethnicity,"For each, please indicate if you, personally, think it is acceptable. A black person using the n-word",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,101
Pew_American_Trends_Panel_disagreement_500.csv,326,Race & Ethnicity,"For each, please indicate if you, personally, think it is acceptable. Casting an actor to play a character of a race or ethnicity other than their own",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,150
Pew_American_Trends_Panel_disagreement_500.csv,327,Race & Ethnicity,"For each, please indicate if you, personally, think it is acceptable. A person wearing traditional dress from a country or culture other than their own as part of a Halloween costume",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,182
Pew_American_Trends_Panel_disagreement_500.csv,328,Race & Ethnicity,"For each, please indicate if you, personally, think it is acceptable. A white person using makeup to darken their skin so they appear to be a different race as part of a Halloween costume",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,187
Pew_American_Trends_Panel_disagreement_500.csv,329,Race & Ethnicity,"How important, if at all, would you say it is for companies and organizations to promote racial and ethnic diversity in their workplace?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,136
Pew_American_Trends_Panel_disagreement_500.csv,334,Media,How much made-up news and information do you think is created by journalists?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,77
Pew_American_Trends_Panel_disagreement_500.csv,335,Media,How often do you come across made-up news and information that is intended to mislead the public?,Frequency,"['Always', 'Often', 'Sometimes', 'Rarely', 'Never']",5,97
Pew_American_Trends_Panel_disagreement_500.csv,336,Media,How much do you agree or disagree with the following statement? The main reason why I shared news and information that I knew at the time was made-up was because I thought it was surprising or entertaining.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,206
Pew_American_Trends_Panel_disagreement_500.csv,337,Media,How much do you agree or disagree with the following statement? The main reason why I shared news and information that I knew at the time was made-up was because I liked what it said.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,183
